datetime,date,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,total_count,total_count_smoothed_log,total_count_smoothed_moving_average,total_count_smoothed_holt,total_count_smoothed_holt_winters,total_count_smoothed_exponential_holt,total_count_smoothed_savgol,total_count_smoothed_damped_holt,total_count_smoothed_kalman
2011-01-01 00:00:00,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2.772588722239781,189.52169336534982,40.0,26.999999999999982,40.0,27.54761904761905,39.76,14.026655952416073
2011-01-01 01:00:00,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,3.6888794541139363,189.52169336534982,39.554271428571425,16.055,59.644381900000006,25.785714285714292,39.6388595212,26.07996785724822
2011-01-01 02:00:00,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,3.4657359027997265,189.52169336534982,63.44254951021258,39.880275,115.08841056083126,22.571428571428584,63.28308879773686,24.21324761932858
2011-01-01 03:00:00,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,2.5649493574615367,189.52169336534982,54.86082637493393,32.039401375,146.4862212607048,17.904761904761926,55.20537945845622,14.559775000737524
2011-01-01 04:00:00,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,0.0,189.52169336534982,34.926173363261256,13.095197006875,139.67713335205121,5.095238095238104,36.02534383071158,6.466077382883994
2011-01-01 05:00:00,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0.0,189.52169336534982,22.08679153191806,1.060475985034375,113.40474850823647,-0.3333333333333315,23.757850311744622,3.8384571479144567
2011-01-01 06:00:00,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,0.6931471805599453,189.52169336534982,21.525536270704507,1.0003023799251718,91.21609431076097,0.523809523809526,23.46844384617892,4.049294060859375
2011-01-01 07:00:00,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1.0986122886681098,13.142857142857142,22.05747358853167,1.9950015118996258,74.31521157138567,2.4761904761904807,24.236335518843823,6.309425034663668
2011-01-01 08:00:00,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,2.0794415416798357,8.571428571428571,22.605910053942566,2.994975007559498,61.91005208690729,7.523809523809534,25.011793158980733,11.878981043131631
2011-01-01 09:00:00,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,2.6390573296152584,6.0,27.239361376718325,7.974974875037797,59.33736047917061,17.4761904761905,29.769938585682425,21.32751809473122
2011-01-01 10:00:00,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,3.58351893845611,9.285714285714286,32.92045009173731,13.969874874375188,65.81843997386125,35.90476190476194,35.54532709881667,38.10357324106204
2011-01-01 11:00:00,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,4.02535169073515,17.142857142857142,54.91144675907259,35.88984937437188,103.11112746584442,57.52380952380959,57.249584054877594,56.98320162845489
2011-01-01 12:00:00,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,4.430816798843313,29.0,74.94706114532235,55.89944924687186,160.01195371572223,79.33333333333343,77.04546367518674,76.84603164430263
2011-01-01 13:00:00,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,4.543294782270004,42.142857142857146,103.12063530748222,83.85949724623435,242.54497722454943,97.04761904761915,104.79473597233984,89.55489330445302
2011-01-01 14:00:00,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,4.663439094112067,56.857142857142854,112.99651134566707,93.94929748623117,316.07710446977086,107.19047619047629,114.67412391181901,97.81864826905644
2011-01-01 15:00:00,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,4.700480365792417,71.42857142857143,124.82096879383433,105.93974648743115,384.5243168561653,105.19047619047629,126.4564649046209,97.9010515027163
2011-01-01 16:00:00,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,4.532599493153256,82.71428571428571,128.5107308517867,109.97969873243716,436.3418791353867,89.23809523809533,130.28962462265886,85.88450623909243
2011-01-01 17:00:00,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,4.204692619390966,87.14285714285714,110.77711986894454,93.08489849366218,444.95298814786025,66.38095238095245,113.18804378379423,66.75246721456102
2011-01-01 18:00:00,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,3.5553480614894135,84.14285714285714,83.78653650216721,67.13042449246832,409.69541311198327,46.095238095238145,87.02797016974017,47.37289540459064
2011-01-01 19:00:00,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,3.6109179126442243,77.42857142857143,50.661586185320026,35.160652122462345,335.74781481694845,35.52380952380957,54.85407448696013,40.36621899921089
2011-01-01 20:00:00,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,3.58351893845611,69.14285714285714,52.163930198899564,36.99080326061231,283.49245799716925,31.19047619047623,56.48550694657777,36.72576159304203
2011-01-01 21:00:00,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,3.5263605246161616,58.857142857142854,50.79542537146352,36.00495401630306,243.20189086346198,35.52380952380956,55.302683818272655,33.81106577991519
2011-01-01 22:00:00,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,3.332204510175204,47.142857142857146,48.40268068057912,34.010024770081515,210.5624487301222,32.61904761904765,53.112668718926216,30.707435746703545
2011-01-01 23:00:00,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,3.6635616461296463,39.42857142857143,41.939784482343974,28.03005012385041,178.39436857457287,28.85714285714289,46.939183366998975,30.31124146019545
2011-01-02 00:00:00,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2.833213344056216,32.285714285714285,52.78317333154012,38.94515025061925,169.77587237287133,23.142857142857167,57.66439769074773,21.226288633882803
2011-01-02 01:00:00,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2.833213344056216,29.714285714285715,30.103908462034717,17.109725751253094,133.5365357409846,16.57142857142859,35.637771098132816,16.367624441452964
2011-01-02 02:00:00,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2.1972245773362196,25.714285714285715,29.68162649542229,17.000548628756263,108.54864404298591,8.523809523809534,35.341457560430925,10.87658469047609
2011-01-02 03:00:00,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,1.791759469228055,21.428571428571427,21.232007293419457,9.04000274314378,81.07885949282894,6.428571428571436,27.194898540416027,7.2621296299753055
2011-01-02 04:00:00,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,1.0986122886681098,17.0,17.84570995882212,6.015200013715718,58.94312911435492,2.333333333333337,23.986446029309093,4.909804199449824
2011-01-02 06:00:00,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,0.6931471805599453,13.285714285714286,14.493835043530492,3.0150760000685786,40.64380374958201,1.0476190476190508,20.80453178152137,4.467282968374167
2011-01-02 07:00:00,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,0.0,7.857142857142857,13.187570691835669,2.005075380000343,27.60466575801533,0.8571428571428616,19.614773874365547,6.492044705672677
2011-01-02 08:00:00,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2.0794415416798357,6.571428571428571,11.898753663548991,1.0050253769000017,18.085559540654412,9.571428571428584,18.436783924374694,14.008851148643863
2011-01-02 09:00:00,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2.995732273553991,7.0,18.765408064222914,7.9650251268845,20.61419248704208,25.19047619047622,25.22142879867424,27.534508740258914
2011-01-02 10:00:00,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,3.970291913552122,13.285714285714286,30.768843166731468,19.93982512563442,36.59204331535711,50.571428571428626,37.0231452374114,48.59467507213288
2011-01-02 11:00:00,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,4.248495242049359,22.428571428571427,64.18789370043108,52.83469912562817,86.51457222696897,72.23809523809531,69.74875723874929,65.24951647613973
